Step,PC,Prediction,Actual,Accuracy,Source
0,1000,1,-1,0.0,loop
1,1001,1,-1,0.0,perceptron
2,1002,1,-1,0.0,perceptron
3,1003,-1,-1,0.25,perceptron
4,1004,1,-1,0.2,perceptron
5,1000,1,-1,0.16666666666666666,loop
6,1001,-1,-1,0.2857142857142857,perceptron
7,1002,-1,-1,0.375,perceptron
8,1003,-1,-1,0.4444444444444444,perceptron
9,1004,-1,-1,0.5,perceptron
10,1000,1,-1,0.45454545454545453,loop
11,1001,-1,-1,0.5,perceptron
12,1002,-1,-1,0.5384615384615384,perceptron
13,1003,1,-1,0.5,perceptron
14,1004,-1,-1,0.5333333333333333,perceptron
15,1000,1,-1,0.5,loop
16,1001,1,-1,0.47058823529411764,perceptron
17,1002,-1,-1,0.5,perceptron
18,1003,-1,-1,0.5263157894736842,perceptron
19,1004,-1,-1,0.55,perceptron
20,1000,1,-1,0.5238095238095238,loop
21,1001,-1,-1,0.5454545454545454,perceptron
22,1002,-1,-1,0.5652173913043478,perceptron
23,1003,-1,-1,0.5833333333333334,perceptron
24,1004,-1,-1,0.6,perceptron
25,2000,-1,1,0.5769230769230769,perceptron
26,2000,-1,1,0.5555555555555556,perceptron
27,2000,-1,1,0.5357142857142857,perceptron
28,2000,-1,1,0.5172413793103449,perceptron
29,2000,1,-1,0.5,perceptron
30,2000,-1,1,0.4838709677419355,perceptron
31,2000,1,1,0.5,perceptron
32,2000,1,1,0.5151515151515151,perceptron
33,2000,1,1,0.5294117647058824,perceptron
34,2000,1,-1,0.5142857142857142,perceptron
35,2000,1,1,0.5277777777777778,perceptron
36,2000,1,1,0.5405405405405406,perceptron
37,2000,1,1,0.5526315789473685,perceptron
38,2000,1,1,0.5641025641025641,perceptron
39,2000,1,-1,0.55,perceptron
40,2000,1,1,0.5609756097560976,loop
41,2000,1,1,0.5714285714285714,loop
42,2000,1,1,0.5813953488372093,loop
43,2000,-1,1,0.5681818181818182,loop
44,2000,-1,-1,0.5777777777777777,loop
45,2000,1,1,0.5869565217391305,loop
46,2000,1,1,0.5957446808510638,loop
47,2000,1,1,0.6041666666666666,loop
48,2000,-1,1,0.5918367346938775,loop
49,2000,-1,-1,0.6,loop
50,3000,1,1,0.6078431372549019,perceptron
51,3001,1,1,0.6153846153846154,perceptron
52,3002,-1,1,0.6037735849056604,perceptron
53,3000,1,1,0.6111111111111112,perceptron
54,3001,1,1,0.6181818181818182,perceptron
55,3002,-1,1,0.6071428571428571,perceptron
56,3000,1,1,0.6140350877192983,perceptron
57,3001,1,1,0.6206896551724138,perceptron
58,3002,1,1,0.6271186440677966,perceptron
59,3000,1,1,0.6333333333333333,perceptron
60,4006,1,1,0.639344262295082,perceptron
61,4043,1,-1,0.6290322580645161,perceptron
62,4067,-1,1,0.6190476190476191,perceptron
63,4087,1,1,0.625,perceptron
64,4044,1,-1,0.6153846153846154,perceptron
65,1000,1,-1,0.6060606060606061,loop
66,1001,-1,-1,0.6119402985074627,perceptron
67,1002,-1,-1,0.6176470588235294,perceptron
68,1003,-1,-1,0.6231884057971014,perceptron
69,1004,-1,-1,0.6285714285714286,perceptron
70,1000,1,-1,0.6197183098591549,loop
71,1001,-1,-1,0.625,perceptron
72,1002,-1,-1,0.6301369863013698,perceptron
73,1003,-1,-1,0.6351351351351351,perceptron
74,1004,-1,-1,0.64,perceptron
